id,Organisation,Department
1,Airports Authority of India,Western Region - AAI
1,Airports Authority of India,North East Region - AAI
1,Airports Authority of India,Eastern Region - AAI
1,Airports Authority of India,Southern Region - AAI
1,Airports Authority of India,Northern Region - AAI
1,Airports Authority of India,CHQ - AAI
2,Department of Defence Research and Development,Defence Institute of Advanced Technology
2,Department of Defence Research and Development,Defence Research and Development Organisation
2,Department of Defence Research and Development,Aeronautical Development Agency
3,AGRICULTURE PRODUCTION DEPARTMENT,Command Area Development Kashmir
3,AGRICULTURE PRODUCTION DEPARTMENT,Command Area Development Jammu
3,AGRICULTURE PRODUCTION DEPARTMENT,Agriculture Department Jammu and Kashmir
3,AGRICULTURE PRODUCTION DEPARTMENT,Mission Directorate Holistic Agriculture Development Program
4,MIDHANI,NULL
5,Directorate of Information Technology and Communication,Nagaland State eGovernace Society
6,Daman District,Staff Selection Board - Daman
6,Daman District,Public Works Department - Daman
6,Daman District,Town Planning - Daman
6,Daman District,Tourism Department - Daman
6,Daman District,Omnibus Industrial Development Corporation - Daman
6,Daman District,Sports Department - Daman
6,Daman District,Excise - Daman
6,Daman District,Medical and Health Dept. - Daman
6,Daman District,Jail - Daman
6,Daman District,Veterinary Department - Daman
6,Daman District,Power/Electricity Department - Daman
6,Daman District,Government Engineering College - Daman
6,Daman District,Municipal Council - Daman
6,Daman District,Mamlatdar - Daman
6,Daman District,Election Department - Daman
6,Daman District,Collectorate - Daman
6,Daman District,IT Department - Daman
6,Daman District,Fire Department - Daman
6,Daman District,Police Department - Daman
6,Daman District,Transport Department - Daman
6,Daman District,Planning and Statistics - Daman
7,"CPCL,DGM(M and C)",Projects Contracts
7,"CPCL,DGM(M and C)",CM - CONTRACTS
7,"CPCL,DGM(M and C)",CM - MATERIALS
7,"CPCL,DGM(M and C)",Maintenance - Contracts and Estimates
7,"CPCL,DGM(M and C)",9 CBRP
7,"CPCL,DGM(M and C)",Projects Materials
7,"CPCL,DGM(M and C)",Offsite - Maintenance
7,"CPCL,DGM(M and C)",Financial
8,Civil Aviation,NULL
9,CE-MRRDA,SE-5 AURANGABAD
9,CE-MRRDA,SE-3 NAGPUR
9,CE-MRRDA,SE-4 AMARAVATI
9,CE-MRRDA,SE-1 PUNE
9,CE-MRRDA,SE-2 NASHIK
9,CE-MRRDA,SE-6 KONKAN
10,"Er in Chief, Bihar",NULL
11,HPPWD,SE 1 Circle Mandi
12,DWSD EinC,DWSD CE RANCHI
12,DWSD EinC,DWSD CE DUMKA
13,Agartala Smart City Ltd. (Urban Development Dept),CEO Agartala Smart City Ltd.(Urban Development Dept.)
14,Animal Resource Department,ARDD
15,Assam Agricultural University,Directorate of Physical Plants
15,Assam Agricultural University,Directorate of Research (Agri.)
15,Assam Agricultural University,Directorate of Research ( Veterinary)
15,Assam Agricultural University,College of Agriculture
15,Assam Agricultural University,College of Veterinary Science
16,Garden Reach Shipbuilders and Engineers Ltd.,Main Unit - GRSE
16,Garden Reach Shipbuilders and Engineers Ltd.,61Park Unit - GRSE
16,Garden Reach Shipbuilders and Engineers Ltd.,GRSE Main - ND
16,Garden Reach Shipbuilders and Engineers Ltd.,TU/DKMC Unit - GRSE
16,Garden Reach Shipbuilders and Engineers Ltd.,Commercial Ship Building-GRSE
16,Garden Reach Shipbuilders and Engineers Ltd.,FOJ Unit - GRSE
17,Engineer-In-Chief-Panchayat Raj - AP,SE-PR-Kakinada-East Godavari Dist. - ENCPR
